dataset1,dataset2,n_common_1,n_total_1,n_common_0,n_total_0,n_common_all,n_total_all
stormfront_post,ami,1393,4726,2353,11282,3218,12964
stormfront_post,founta_toxicity,3224,4726,8117,11282,9333,12964
stormfront_post,davidson_offensive,2650,4726,3829,11282,5847,12964
stormfront_post,trac_covert,2512,4726,5181,11282,6281,12964
stormfront_post,toxicity_obscene,3132,4726,9428,11282,10719,12964
stormfront_post,toxicity_threat,1094,4726,9453,11282,10719,12964
stormfront_post,davidson_hate,1193,4726,5238,11282,5847,12964
stormfront_post,founta_hateful,2368,4726,8273,11282,9333,12964
stormfront_post,toxicity_insult,3070,4726,9433,11282,10719,12964
stormfront_post,toxicity_identityhate,2005,4726,9448,11282,10719,12964
stormfront_post,toxicity_severetoxic,1627,4726,9450,11282,10719,12964
stormfront_post,stormfront_post,4726,4726,11282,11282,12964,12964
stormfront_post,zeerak_hate,2270,4726,4591,11282,5723,12964
stormfront_post,trac_overt,2461,4726,5354,11282,6281,12964
stormfront_post,trac_aggr,2876,4726,4482,11282,6281,12964
stormfront_post,hateval_hate,2668,4726,4991,11282,6254,12964
stormfront_post,toxicity_toxic,3580,4726,9400,11282,10719,12964
stormfront_post,offenseval,2704,4726,5615,11282,6825,12964
zeerak_hate,stormfront_sentence,1863,9682,4775,15028,5758,20012
zeerak_hate,hateval_aggression,2555,9682,5500,15028,6720,20012
zeerak_hate,zeerak_racism,4142,9682,15028,15028,20012,20012
zeerak_hate,zeerak_sexism,6958,9682,15027,15028,20012,20012
zeerak_hate,davidson_toxicity,3688,9682,3497,15028,6366,20012
zeerak_hate,founta_abusive,4195,9682,8360,15028,10379,20012
zeerak_hate,ami,1836,9682,2474,15028,3577,20012
zeerak_hate,founta_toxicity,4591,9682,8237,15028,10379,20012
zeerak_hate,davidson_offensive,3584,9682,3878,15028,6366,20012
zeerak_hate,trac_covert,3331,9682,5258,15028,6731,20012
zeerak_hate,toxicity_obscene,4177,9682,9087,15028,11175,20012
zeerak_hate,toxicity_threat,1275,9682,9123,15028,11175,20012
zeerak_hate,davidson_hate,1456,9682,5304,15028,6366,20012
zeerak_hate,founta_hateful,3210,9682,8476,15028,10379,20012
zeerak_hate,toxicity_insult,4072,9682,9094,15028,11175,20012
zeerak_hate,toxicity_identityhate,2429,9682,9124,15028,11175,20012
zeerak_hate,toxicity_severetoxic,1999,9682,9118,15028,11175,20012
zeerak_hate,stormfront_post,2270,9682,4591,15028,5723,20012
zeerak_hate,zeerak_hate,9682,9682,15028,15028,20012,20012
zeerak_hate,trac_overt,3166,9682,5369,15028,6731,20012
zeerak_hate,trac_aggr,3843,9682,4475,15028,6731,20012
zeerak_hate,hateval_hate,3426,9682,5036,15028,6720,20012
zeerak_hate,toxicity_toxic,4838,9682,9063,15028,11175,20012
zeerak_hate,offenseval,3688,9682,5689,15028,7461,20012
trac_overt,stormfront_sentence,1968,9532,5564,18599,6278,21721
trac_overt,hateval_aggression,2706,9532,6565,18599,7476,21721
trac_overt,zeerak_racism,1921,9532,5950,18599,6731,21721
trac_overt,zeerak_sexism,2430,9532,5685,18599,6731,21721
trac_overt,davidson_toxicity,3719,9532,3694,18599,6449,21721
trac_overt,founta_abusive,4402,9532,11026,18599,12507,21721
trac_overt,ami,1753,9532,2626,18599,3575,21721
trac_overt,founta_toxicity,4894,9532,10899,18599,12507,21721
trac_overt,davidson_offensive,3601,9532,4078,18599,6449,21721
trac_overt,trac_covert,5369,9532,13959,18599,21721,21721
trac_overt,toxicity_obscene,4719,9532,13064,18599,14888,21721
trac_overt,toxicity_threat,1322,9532,13124,18599,14888,21721
trac_overt,davidson_hate,1370,9532,5826,18599,6449,21721
trac_overt,founta_hateful,3326,9532,11137,18599,12507,21721
trac_overt,toxicity_insult,4561,9532,13065,18599,14888,21721
trac_overt,toxicity_identityhate,2600,9532,13117,18599,14888,21721
trac_overt,toxicity_severetoxic,2078,9532,13117,18599,14888,21721
trac_overt,stormfront_post,2461,9532,5354,18599,6281,21721
trac_overt,zeerak_hate,3166,9532,5369,18599,6731,21721
trac_overt,trac_overt,9532,9532,18599,18599,21721,21721
trac_overt,trac_aggr,9532,9532,12799,18599,21721,21721
trac_overt,hateval_hate,3671,9532,5988,18599,7476,21721
trac_overt,toxicity_toxic,5581,9532,13018,18599,14888,21721
trac_overt,offenseval,3922,9532,6755,18599,8245,21721
trac_aggr,stormfront_sentence,2277,15859,4654,12799,6278,21721
trac_aggr,hateval_aggression,3250,15859,5351,12799,7476,21721
trac_aggr,zeerak_racism,2196,15859,4902,12799,6731,21721
trac_aggr,zeerak_sexism,2916,15859,4710,12799,6731,21721
trac_aggr,davidson_toxicity,4804,15859,3144,12799,6449,21721
trac_aggr,founta_abusive,5806,15859,8532,12799,12507,21721
trac_aggr,ami,2027,15859,2281,12799,3575,21721
trac_aggr,founta_toxicity,6522,15859,8464,12799,12507,21721
trac_aggr,davidson_offensive,4637,15859,3436,12799,6449,21721
trac_aggr,trac_covert,11696,15859,12799,12799,21721,21721
trac_aggr,toxicity_obscene,6227,15859,9733,12799,14888,21721
trac_aggr,toxicity_threat,1525,15859,9767,12799,14888,21721
trac_aggr,davidson_hate,1587,15859,4759,12799,6449,21721
trac_aggr,founta_hateful,4090,15859,8590,12799,12507,21721
trac_aggr,toxicity_insult,5991,15859,9734,12799,14888,21721
trac_aggr,toxicity_identityhate,3118,15859,9766,12799,14888,21721
trac_aggr,toxicity_severetoxic,2495,15859,9761,12799,14888,21721
trac_aggr,stormfront_post,2876,15859,4482,12799,6281,21721
trac_aggr,zeerak_hate,3843,15859,4475,12799,6731,21721
trac_aggr,trac_overt,9532,15859,12799,12799,21721,21721
trac_aggr,trac_aggr,15859,15859,12799,12799,21721,21721
trac_aggr,hateval_hate,4580,15859,4950,12799,7476,21721
trac_aggr,toxicity_toxic,7630,15859,9712,12799,14888,21721
trac_aggr,offenseval,4971,15859,5508,12799,8245,21721
hateval_hate,stormfront_sentence,2190,12532,5180,16899,6289,24953
hateval_hate,hateval_aggression,7424,12532,16858,16899,24953,24953
hateval_hate,zeerak_racism,1947,12532,5581,16899,6720,24953
hateval_hate,zeerak_sexism,2698,12532,5315,16899,6720,24953
hateval_hate,davidson_toxicity,4513,12532,3681,16899,7000,24953
hateval_hate,founta_abusive,5292,12532,9501,16899,12157,24953
hateval_hate,ami,3805,12532,4720,16899,6936,24953
hateval_hate,founta_toxicity,5820,12532,9375,16899,12157,24953
hateval_hate,davidson_offensive,4365,12532,4107,16899,7000,24953
hateval_hate,trac_covert,3971,12532,5774,16899,7476,24953
hateval_hate,toxicity_obscene,4875,12532,10022,16899,12597,24953
hateval_hate,toxicity_threat,1424,12532,10069,16899,12597,24953
hateval_hate,davidson_hate,1669,12532,5719,16899,7000,24953
hateval_hate,founta_hateful,3888,12532,9649,16899,12157,24953
hateval_hate,toxicity_insult,4724,12532,10028,16899,12597,24953
hateval_hate,toxicity_identityhate,2746,12532,10066,16899,12597,24953
hateval_hate,toxicity_severetoxic,2263,12532,10063,16899,12597,24953
hateval_hate,stormfront_post,2668,12532,4991,16899,6254,24953
hateval_hate,zeerak_hate,3426,12532,5036,16899,6720,24953
hateval_hate,trac_overt,3671,12532,5988,16899,7476,24953
hateval_hate,trac_aggr,4580,12532,4950,16899,7476,24953
hateval_hate,hateval_hate,12532,12532,16899,16899,24953,24953
hateval_hate,toxicity_toxic,5773,12532,9986,16899,12597,24953
hateval_hate,offenseval,4551,12532,6433,16899,8560,24953
toxicity_toxic,stormfront_sentence,2804,27179,9856,154803,10729,161572
toxicity_toxic,hateval_aggression,3898,27179,11481,154803,12597,161572
toxicity_toxic,zeerak_racism,2500,27179,10472,154803,11175,161572
toxicity_toxic,zeerak_sexism,3671,27179,9764,154803,11175,161572
toxicity_toxic,davidson_toxicity,6997,27179,6214,154803,12190,161572
toxicity_toxic,founta_abusive,8453,27179,31737,154803,33934,161572
toxicity_toxic,ami,2562,27179,3646,154803,5074,161572
toxicity_toxic,founta_toxicity,9487,27179,31088,154803,33934,161572
toxicity_toxic,davidson_offensive,6712,27179,7022,154803,12190,161572
toxicity_toxic,trac_covert,6166,27179,12373,154803,14888,161572
toxicity_toxic,toxicity_obscene,16744,27179,154423,154803,161572,161572
toxicity_toxic,toxicity_threat,2381,27179,154783,154803,161572,161572
toxicity_toxic,davidson_hate,2079,27179,11619,154803,12190,161572
toxicity_toxic,founta_hateful,5185,27179,32859,154803,33934,161572
toxicity_toxic,toxicity_insult,15789,27179,154466,154803,161572,161572
toxicity_toxic,toxicity_identityhate,5572,27179,154711,154803,161572,161572
toxicity_toxic,toxicity_severetoxic,4830,27179,154789,154803,161572,161572
toxicity_toxic,stormfront_post,3580,27179,9400,154803,10719,161572
toxicity_toxic,zeerak_hate,4838,27179,9063,154803,11175,161572
toxicity_toxic,trac_overt,5581,27179,13018,154803,14888,161572
toxicity_toxic,trac_aggr,7630,27179,9712,154803,14888,161572
toxicity_toxic,hateval_hate,5773,27179,9986,154803,12597,161572
toxicity_toxic,toxicity_toxic,27179,27179,154803,154803,161572,161572
toxicity_toxic,offenseval,6567,27179,12093,154803,14834,161572
offenseval,stormfront_sentence,2195,10223,5798,15311,6822,19228
offenseval,hateval_aggression,3303,10223,7148,15311,8560,19228
offenseval,zeerak_racism,1999,10223,6362,15311,7461,19228
offenseval,zeerak_sexism,2944,10223,6017,15311,7461,19228
offenseval,davidson_toxicity,4798,10223,4118,15311,7663,19228
offenseval,founta_abusive,5595,10223,10994,15311,13441,19228
offenseval,ami,2135,10223,2785,15311,4027,19228
offenseval,founta_toxicity,6161,10223,10869,15311,13441,19228
offenseval,davidson_offensive,4614,10223,4582,15311,7663,19228
offenseval,trac_covert,4251,10223,6505,15311,8245,19228
offenseval,toxicity_obscene,5502,10223,12133,15311,14834,19228
offenseval,toxicity_threat,1473,10223,12175,15311,14834,19228
offenseval,davidson_hate,1736,10223,6570,15311,7663,19228
offenseval,founta_hateful,4000,10223,11154,15311,13441,19228
offenseval,toxicity_insult,5357,10223,12136,15311,14834,19228
offenseval,toxicity_identityhate,2974,10223,12173,15311,14834,19228
offenseval,toxicity_severetoxic,2417,10223,12174,15311,14834,19228
offenseval,stormfront_post,2704,10223,5615,15311,6825,19228
offenseval,zeerak_hate,3688,10223,5689,15311,7461,19228
offenseval,trac_overt,3922,10223,6755,15311,8245,19228
offenseval,trac_aggr,4971,10223,5508,15311,8245,19228
offenseval,hateval_hate,4551,10223,6433,15311,8560,19228
offenseval,toxicity_toxic,6567,10223,12093,15311,14834,19228
offenseval,offenseval,10223,10223,15311,15311,19228,19228
